GO_ID,x,y
GO:0001808,0.998844,0.208447
GO:0001809,0.998388,0.208016
GO:0001810,0.998135,0.207566
GO:0001811,0.998241,0.207665
GO:0001812,0.998156,0.207646
GO:0001813,0.998285,0.208108
GO:0001814,1.0,0.209935
GO:0001815,0.998423,0.20803
GO:0001816,0.999365,0.209053
GO:0001817,0.998362,0.207893
GO:0001818,0.99839,0.20797
GO:0001819,0.99819,0.207709
GO:0001820,0.997838,0.207221
GO:0001821,0.998326,0.20789
GO:0001822,0.998243,0.207744
GO:0001823,0.998441,0.207989
GO:0001824,0.998409,0.207961
GO:0001825,0.996753,0.206063
GO:0001826,-0.370425,-0.498912
GO:0001827,-0.368465,-0.489927
GO:0001828,-0.370042,-0.507788
GO:0001829,-0.377542,-0.508523
GO:0001830,-0.339595,-0.483815
GO:0001831,-0.365302,-0.477274
GO:0001832,-0.371831,-0.490176
GO:0001833,-0.37167,-0.491901
GO:0001834,-0.362536,-0.484579
GO:0001835,-0.371023,-0.49183
GO:0001836,-0.367089,-0.49959
GO:0001837,-0.372969,-0.505144
GO:0001838,-0.346587,-0.482264
GO:0001839,-0.380052,-0.511521
GO:0001840,-0.377791,-0.509972
GO:0001841,-0.379317,-0.510356
GO:0001842,-0.369327,-0.469745
GO:0001843,-0.376603,-0.510471
GO:0001845,-0.365496,-0.496828
GO:0001846,-0.374524,-0.505944
GO:0001847,-0.347869,-0.479723
GO:0001848,-0.371595,-0.472606
GO:0001849,-0.359271,-0.492266
GO:0001850,-0.366349,-0.471839
GO:0001851,-0.371341,-0.472339
GO:0001855,-0.348986,-0.482951
GO:0001861,-0.365841,-0.484671
GO:0001865,-0.349177,-0.494265
GO:0001866,-0.370986,-0.472488
GO:0001867,-0.357082,-0.486197
GO:0001868,-0.369162,-0.479065
GO:0001869,-0.365739,-0.490187
GO:0001872,-0.350608,-0.49848
GO:0001875,-0.351038,-0.498671
GO:0001878,-0.33776,-0.483961
GO:0001879,-0.340567,-0.485261
GO:0001880,-0.379775,-0.498199
GO:0001881,-0.366921,-0.49994
GO:0001882,-0.35356,-0.492019
GO:0001883,-0.349349,-0.475179
GO:0001885,-0.379628,-0.507002
GO:0001886,-0.376071,-0.500318
GO:0001887,-0.370998,-0.463017
GO:0001888,-0.35842,-0.4687
GO:0001889,-0.378208,-0.508849
GO:0001890,-0.374866,-0.507085
GO:0001891,-0.372212,-0.507988
GO:0001892,-0.37778,-0.492568
GO:0001893,-0.365407,-0.501077
GO:0001894,-0.380451,-0.510002
GO:0001895,-0.366408,-0.498904
GO:0001906,-0.375256,-0.462089
GO:0001909,-0.352588,-0.49549
GO:0001910,-0.364135,-0.482701
GO:0001911,-0.370215,-0.470186
GO:0001912,-0.370819,-0.469011
GO:0001913,-0.351586,-0.498696
GO:0001914,-0.371575,-0.475353
GO:0001915,-0.352283,-0.493668
GO:0001916,-0.357449,-0.489985
GO:0001917,-0.365148,-0.498576
GO:0001918,-0.348681,-0.493583
GO:0001919,-0.367849,-0.50328
GO:0001920,-0.371776,-0.490671
GO:0001921,-0.368085,-0.495401
GO:0001922,-0.343268,-0.488186
GO:0001923,-0.364879,-0.482722
GO:0001928,-0.351004,-0.483269
GO:0001931,-0.357477,-0.49
GO:0001932,-0.373333,-0.509015
GO:0001933,-0.370301,-0.506932
GO:0001934,-0.375077,-0.509275
GO:0001935,-0.373134,-0.508091
GO:0001936,-0.374585,-0.493727
GO:0001937,-0.369853,-0.503711
GO:0001938,-0.372673,-0.504735
GO:0001939,-0.338079,-0.484408
GO:0001940,-0.356527,-0.480845
GO:0001941,-0.376183,-0.505548
GO:0001942,-0.377813,-0.506445
GO:0001944,-0.378977,-0.510078
GO:0001945,-0.377032,-0.509606
GO:0001946,-0.376875,-0.509337
GO:0001947,-0.380812,-0.512034
GO:0001949,-0.358425,-0.463728
GO:0001951,-0.373959,-0.493143
GO:0001952,-0.370214,-0.507995
GO:0001953,-0.376864,-0.507182
GO:0001954,-0.376971,-0.510818
GO:0001955,-0.376919,-0.486089
GO:0001956,-0.368581,-0.503986
GO:0001957,-0.379705,-0.505802
