GO_ID,x,y
GO:0001945,-0.377032,-0.509606
GO:0001946,-0.376875,-0.509337
GO:0001947,0.596072,-0.154941
GO:0001949,-0.358425,-0.463728
GO:0001951,-0.518608,-0.219626
GO:0001952,0.533305,0.420761
GO:0001953,0.520977,0.410832
GO:0001954,0.579905,0.350721
GO:0001955,-0.376919,-0.486089
GO:0001956,-0.759663,0.389037
GO:0001957,0.426023,0.491024
GO:0001958,0.440840,0.378783
GO:0001959,-0.005857,-0.043969
GO:0001960,-0.367747,0.084364
GO:0001961,-0.405453,0.017609
GO:0001962,-0.135615,0.558768
GO:0001963,0.626203,-0.159299
GO:0001964,-0.361169,-0.223765
GO:0001965,-0.368301,-0.504186
GO:0001966,-0.376165,-0.498922
GO:0001967,-0.851220,-0.241275
GO:0001968,-0.368817,-0.500615
GO:0001969,-0.094764,-0.305558
GO:0001970,-0.025228,-0.346788
GO:0001971,-0.085001,-0.327762
GO:0001972,-0.171422,0.600699
GO:0001973,0.238573,0.447316
GO:0001974,0.374877,0.395405
GO:0001975,0.242846,-0.521327
GO:0001976,-0.375951,-0.487208
GO:0001977,-0.357731,-0.471923
GO:0001980,-0.335262,-0.515360
GO:0001984,-0.366749,-0.467940
GO:0001985,-0.021847,0.176047
GO:0001988,-0.026976,0.240736
GO:0001990,0.002452,0.009764
GO:0001991,-0.069418,0.108998
GO:0001992,-0.029958,-0.066079
GO:0001994,-0.401011,-0.162935
GO:0001996,0.137856,0.353983
GO:0001997,-0.017072,0.337905
GO:0001998,-0.014867,-0.005892
GO:0002001,0.549503,-0.191886
GO:0002002,-0.371752,-0.479607
GO:0002003,0.597646,-0.140612
GO:0002007,0.067038,0.189245
GO:0002009,0.598060,-0.183931
GO:0002011,0.552042,-0.077659
GO:0002014,-0.083570,-0.090309
GO:0002016,0.009320,0.050423
GO:0002017,0.016077,0.025999
GO:0002018,-0.057943,0.308578
GO:0002019,0.002807,0.023896
GO:0002020,0.541509,0.330243
GO:0002021,0.015389,-0.388747
GO:0002023,-0.831694,-0.210810
GO:0002024,-0.089799,-0.226011
GO:0002025,0.047128,0.037104
GO:0002026,0.013491,0.355211
GO:0002027,0.039132,0.273119
GO:0002028,0.468289,-0.398144
GO:0002029,0.593105,-0.334901
GO:0002031,0.589290,-0.173246
GO:0002033,0.038095,0.152641
GO:0002034,-0.019482,0.062873
GO:0002035,-0.155295,-0.229889
GO:0002036,-0.866908,0.341235
GO:0002037,-0.877038,0.360775
GO:0002038,-0.890104,0.311178
GO:0002039,-0.273513,0.474890
GO:0002040,0.074862,0.685747
GO:0002041,-0.363401,-0.473842
GO:0002042,-0.845708,0.425430
GO:0002043,0.112257,-0.282766
GO:0002046,-0.371635,-0.499268
GO:0002051,-0.357251,-0.478389
GO:0002052,0.299142,-0.012262
GO:0002053,0.316715,-0.099467
GO:0002054,-0.368962,-0.475234
GO:0002055,-0.362387,-0.468497
GO:0002058,-0.354934,-0.461308
GO:0002060,-0.349785,-0.482126
GO:0002061,-0.348264,-0.479435
